Genome partition ID	(sub)Type / Coordinates	Strand	Cas gene
NC_017104	CAS-I-E		
NC_017104	114611..117325	+	cas3
NC_017104	117387..119042	+	cas8e
NC_017104	119042..119602	+	cse2gr11
NC_017104	119623..120681	+	cas7
NC_017104	120687..121466	+	cas5
NC_017104	121466..122155	+	cas6e
NC_017104	122168..123127	+	cas1
NC_017104	123108..123449	+	cas2
NC_013210	CAS-I-E		
NC_013210	114611..117325	+	cas3
NC_013210	117387..119042	+	cas8e
NC_013210	119042..119602	+	cse2gr11
NC_013210	119623..120681	+	cas7
NC_013210	120687..121466	+	cas5
NC_013210	121466..122155	+	cas6e
NC_013210	122168..123127	+	cas1
NC_013210	123108..123449	+	cas2
NC_017101	CAS-I-E		
NC_017101	114239..116953	+	cas3
NC_017101	117015..118670	+	cas8e
NC_017101	118670..119230	+	cse2gr11
NC_017101	119251..120309	+	cas7
NC_017101	120315..121094	+	cas5
NC_017101	121094..121783	+	cas6e
NC_017101	121796..122755	+	cas1
NC_017101	122736..123077	+	cas2
NC_017143	CAS-I-E		
NC_017143	114239..116953	+	cas3
NC_017143	117015..118670	+	cas8e
NC_017143	118670..119230	+	cse2gr11
NC_017143	119251..120309	+	cas7
NC_017143	120315..121094	+	cas5
NC_017143	121094..121783	+	cas6e
NC_017143	121796..122755	+	cas1
NC_017143	122736..123077	+	cas2
NC_017136	CAS-I-E		
NC_017136	114223..116937	+	cas3
NC_017136	116999..118654	+	cas8e
NC_017136	118654..119214	+	cse2gr11
NC_017136	119235..120293	+	cas7
NC_017136	120299..121078	+	cas5
NC_017136	121078..121767	+	cas6e
NC_017136	121780..122739	+	cas1
NC_017136	122720..123061	+	cas2
NC_017117	CAS-I-E		
NC_017117	114239..116953	+	cas3
NC_017117	117015..118670	+	cas8e
NC_017117	118670..119230	+	cse2gr11
NC_017117	119251..120309	+	cas7
NC_017117	120315..121094	+	cas5
NC_017117	121094..121783	+	cas6e
NC_017117	121796..122755	+	cas1
NC_017117	122736..123077	+	cas2
NC_017130	CAS-I-E		
NC_017130	114231..116945	+	cas3
NC_017130	117007..118662	+	cas8e
NC_017130	118662..119222	+	cse2gr11
NC_017130	119243..120301	+	cas7
NC_017130	120307..121086	+	cas5
NC_017130	121086..121775	+	cas6e
NC_017130	121788..122747	+	cas1
NC_017130	122728..123069	+	cas2
NC_017134	CAS-I-E		
NC_017134	114255..116969	+	cas3
NC_017134	117031..118686	+	cas8e
NC_017134	118686..119246	+	cse2gr11
NC_017134	119267..120325	+	cas7
NC_017134	120331..121110	+	cas5
NC_017134	121110..121799	+	cas6e
NC_017134	121812..122771	+	cas1
NC_017134	122752..123093	+	cas2
NC_016894	CAS-I-B		
NC_016894	3381013..3381291	-	cas2
NC_016894	3381304..3382296	-	cas1
NC_016894	3382312..3382806	-	cas4
NC_016894	3382828..3385107	-	cas3
NC_016894	3385104..3386189	-	cas5
NC_016894	3386220..3387098	-	cas7
NC_016894	3387101..3388552	-	cas8b2
NC_016894	3388568..3389278	-	cas6
NC_016894	3389463..3390554	-	-
NC_016894	3390628..3391653	-	WYL
NC_014378	CAS-I-D		
NC_014378	882094..883044	+	WYL
NC_014378	883056..885812	+	cas10d
NC_014378	885835..886782	+	csc2gr7
NC_014378	886860..887564	+	csc1gr5
NC_014378	887568..889817	+	cas3
NC_014378	889831..890424	+	cas4
NC_014378	890424..891419	+	cas1
NC_014378	891420..891692	+	cas2
NC_014378	891732..892526	+	cas6
NC_013740	CAS-I-C		
NC_013740	874496..876682	+	cas3
NC_013740	876714..877367	+	cas5
NC_013740	877364..879139	+	cas8c
NC_013740	879139..880035	+	cas7
NC_013740	880032..880706	+	cas4
NC_013740	880703..881734	+	cas1
NC_013740	881739..882029	+	cas2
NC_016077	CAS-II-A		
NC_016077	1005026..1009102	+	cas9
NC_016077	1009150..1009971	+	cas1
NC_016077	1010061..1010288	+	cas2
NC_016077	1010285..1010953	+	csn2
NC_015518	CAS-III-D		
NC_015518	362959..365517	+	cas10
NC_015518	365597..366034	+	csm3gr7
NC_015518	366015..366977	+	csx10gr5
NC_015518	366967..367326	+	csm2gr11
NC_015518	367331..368071	+	csm3gr7
NC_015518	368068..368880	+	csm3gr7
NC_015518	368856..369587	+	csm3gr7
NC_015518	369637..369897	+	-
NC_015518	370269..370562	+	-
NC_015518	372590..373471	+	cas4
NC_015518	partial CAS-III		
NC_015518	376592..376882	-	cas2
NC_015518	376884..377816	-	cas1
NC_015518	378967..379749	+	cas6
NC_015518	CAS-I-A		
NC_015518	1577709..1578692	-	cas8a1
NC_015518	1578673..1579389	-	cas3HD
NC_015518	1579373..1580830	-	cas3
NC_015518	1580814..1581536	-	cas5
NC_015518	1581552..1582520	-	cas7
NC_015518	1582517..1582918	-	csa5gr11
NC_015518	1582971..1583594	-	casR
NC_015518	1584654..1585505	+	cas4
NC_015518	1585566..1586420	+	cas1
NC_015518	1586530..1586655	+	cas2
NC_015518	1586787..1587242	+	cas4
NC_015518	1587390..1588061	-	casR
NC_014374	CAS-III-B		
NC_014374	1241..2173	-	cas6
NC_014374	2208..2780	-	-
